vin,fuel_type,engine_volume
5xyktca62eg451615,Gasoline,2.4
5xykt3a60eg523296,Gasoline,2.4
kndjp3a51e7709417,Gasoline,2.0
5xyktca66eg539518,Gasoline,2.4
5xxgm4a76eg282513,Gasoline,2.4
kndmg4c77e6542312,Gasoline,3.50
5xxgm4a77eg306088,Gasoline,2.4
5xykt3a63eg499771,Gasoline,2.4
5xyktca68eg476566,Gasoline,2.4
5xyktca69eg473742,Gasoline,2.4
kndjn2a23e7075551,Gasoline,1.6
5xxgm4a77eg261203,Gasoline,2.4
kndjn2a25e7703688,Gasoline,1.6
5xyktca65eg464844,Gasoline,2.4
kndjp3a54e7032444,Gasoline,2.0
kndjp3a57e7727226,Gasoline,2.0
knadm4a33e6376280,Gasoline,1.6
5xxgm4a79eg304052,Gasoline,2.4
kndjn2a28e7026765,Gasoline,1.6
kndjn2a28e7011697,Gasoline,1.6
5xyktca68eg450629,Gasoline,2.4
knadm4a36e6373745,Gasoline,1.6
knadm4a37e6326756,Gasoline,1.6
knadm4a3xe6333247,Gasoline,1.6
knadm4a33e6376327,Gasoline,1.6
kndjn2a24e7702287,Gasoline,1.6
5xxgm4a70eg258580,Gasoline,2.4
knadm4a38e6373178,Gasoline,1.6
5xykt3a68eg429974,Gasoline,2.4
kndjn2a27e7012355,Gasoline,1.6
knadm4a3xe6389611,Gasoline,1.6
knadm4a33e6389630,Gasoline,1.6
kndmg4c73e6544512,Gasoline,3.50
knadm4a36e6387614,Gasoline,1.6
knadm4a31e6373152,Gasoline,1.6
knadm4a38e6373794,Gasoline,1.6
5xyktca60eg540406,Gasoline,2.4
knadm4a34e6394318,Gasoline,1.6
5xyktca61eg476859,Gasoline,2.4
kndjn2a22e7091823,Gasoline,1.6
5xxgm4a78eg260075,Gasoline,2.4
knadm4a34e6387692,Gasoline,1.6
knadm4a35e6389676,Gasoline,1.6
5xyktca61eg439682,Gasoline,2.4
5xykt3a65eg439488,Gasoline,2.4
knadm4a37e6389646,Gasoline,1.6
knadm4a31e6371773,Gasoline,1.6
5xyktca63eg500949,Gasoline,2.4
kndmg4c73e6543585,Gasoline,3.50
knadm4a32e6386279,Gasoline,1.6
kndmg4c71e6542760,Gasoline,3.50
5xykt3a60eg522939,Gasoline,2.4
knadm4a30e6388192,Gasoline,1.6
5xykt4a79eg482567,,3.3
kndmg4c74e6543420,Gasoline,3.50
5xxgm4a73eg275132,Gasoline,2.4
5xyku4a76eg463312,,3.3
kndjn2a27e7074421,Gasoline,1.6
5xykt3a6xeg444962,Gasoline,2.4
knadm4a35e6365006,Gasoline,1.6
5xyktca6xeg465519,Gasoline,2.4
kndjn2a25e7041420,Gasoline,1.6
knadm4a39e6413770,Gasoline,1.6
5xxgm4a75eg259255,Gasoline,2.4
5xyktca62eg450755,Gasoline,2.4
5xyktca63eg465653,Gasoline,2.4
5xyktca64eg465323,Gasoline,2.4
5xyktca66eg448295,Gasoline,2.4
5xyktca64eg451616,Gasoline,2.4
knadm4a36e6385930,Gasoline,1.6
knadm4a38e6376579,Gasoline,1.6
kndjn2a29e7023258,Gasoline,1.6
kndmg4c70e6542779,Gasoline,3.50
knadm4a35e6390231,Gasoline,1.6
kndjn2a28e7087646,Gasoline,1.6
5xyktca64eg450630,Gasoline,2.4
5xyktca67eg544307,Gasoline,2.4
5xykt4a75eg426772,,3.3
knadm4a35e6324925,Gasoline,1.6
5xykt3a60eg465271,Gasoline,2.4
5xykwda78eg509975,,3.3
5xyktca62eg446429,Gasoline,2.4
5xyktca69eg451370,Gasoline,2.4
jtjzk1ba5e2010299,Gasoline,3.5
jthbk1ggxe2146492,Gasoline,3.5
1lnhl9dk7eg605668,Gasoline,3.7
1lnhl9dk1eg600417,Gasoline,3.7
1lnhl9dk6eg603040,Gasoline,3.7
1lnhl9dk6eg605614,Gasoline,3.7
jthbk1gg2e2102454,Gasoline,3.5
kndpb3ac6e7554953,Gasoline,2.4
1lnhl9ft7eg605546,Gasoline,3.5
1lnhl9ek2eg600425,Gasoline,3.7
kndjp3a5xe7009511,Gasoline,2.0
1lnhl9ft2eg600836,Gasoline,3.5
1lnhl9ft0eg600396,Gasoline,3.5
1lnhl9ek1eg607558,Gasoline,3.7
1lnhl9ftxeg600874,Gasoline,3.5
jthkd5bh7e2176857,Gasoline,1.8
kndjp3a51e7720076,Gasoline,2.0
kndpb3ac6e7557030,Gasoline,2.4
jthbf1d27e5022837,Gasoline,2.5
jthbf1d29e5027747,Gasoline,2.5
jtjbm7fx9e5071053,Gasoline,4.6
1lnhl9ek6eg602873,Gasoline,3.7
jthbk1gg4e2107381,Gasoline,3.5
1lnhl9ek4eg603021,Gasoline,3.7
jthbf1d23e5026996,Gasoline,2.5
1lnhl9dk6eg607718,Gasoline,3.7
jthbf1d24e5025419,Gasoline,2.5
jthbf1d26e5005673,Gasoline,2.5
1lnhl9ft5eg609398,Gasoline,3.5
1lnhl9ft3eg605219,Gasoline,3.5
