vin,fuel_type,engine_volume
3vwpl7aj1cm667437,Diesel,1.968000
3vwdp7aj9cm131116,Gasoline,2.480000
3vwdp7aj6cm357632,Gasoline,2.480000
3vw1k7aj4cm337543,Gasoline,1.984000
wvgbv7ax3cw003230,Gasoline,1.984000
1vwbh7a31cc024567,Gasoline,2.480000
1vwch7a38cc026241,Gasoline,2.480000
3vwdp7aj8cm362248,Gasoline,2.480000
yv4940dl2c2328977,Gasoline,3.2
wauafafl4bn012861,Gasoline,1.984000
wauafafh8bn012468,Gasoline,1.984000
waukgafl9ba064057,Gasoline,2.967000
19uua9f54ba000362,Gasoline,3.670702336
wbaph7c51be850133,Gasoline,3.0
1gys3aef8br214651,Flexible Fuel Vehicle (FFV),6.2
wbafr1c50bc740109,Gasoline,3.0
1gys4aef7br371455,Flexible Fuel Vehicle (FFV),6.2
w04gv5ev1b1130796,Flexible Fuel Vehicle (FFV),2
1g6de5ey1b0161123,Gasoline,3
1g6dc5ey6b0149765,Gasoline,3
5gakrced5bj325558,Gasoline,3.6
5gakrbed9bj261017,Gasoline,3.6
1g1pc5sh1b7152992,Gasoline,1.8
kl1td5dexbb126210,Gasoline,1.6
kl1td5de3bb257673,Gasoline,1.6
1g1pc5sh3b7257503,Gasoline,1.8
2g1fe1ed6b9163377,Gasoline,3.6
2g1fg1ed5b9210912,Gasoline,3.6
2g1fa1ed3b9134446,Gasoline,3.6
3gcpcse09bg384417,Flexible Fuel Vehicle (FFV),5.3
3gcpkrea9bg151075,Gasoline,4.8
3gcpkse33bg311413,Flexible Fuel Vehicle (FFV),5.3
1g1pc5sh2b7167145,Gasoline,1.8
3gyfndey6bs680848,Gasoline,3
1gcrkse33bz427767,Flexible Fuel Vehicle (FFV),5.3
1gc4k1c88bf208212,Diesel,6.6
1g1pe5s90b7202848,Gasoline,1.4
2g1fb1ed7b9142238,Gasoline,3.6
3gcpkreaxbg163123,Gasoline,4.8
1g1ph5s97b7194674,Gasoline,1.4
1gcrcrea8bz402206,Gasoline,4.8
2g1ft1ew1b9206997,Gasoline,6.2
3gyfnaey7bs668464,Gasoline,3
1gcrcse01bz466117,Flexible Fuel Vehicle (FFV),5.3
2g1wb5ek6b1299988,Flexible Fuel Vehicle (FFV),3.5
2g1wa5ek1b1194410,Flexible Fuel Vehicle (FFV),3.5
2cnflcec0b6393977,Gasoline,2.4
3gnbaafw0bs585060,Flexible Fuel Vehicle (FFV),2.2
1g1zc5e17bf103485,Gasoline,2.4
1g1za5eu6bf274275,Flexible Fuel Vehicle (FFV),2.4
2cnalbec6b6369137,Gasoline,2.4
2cnfleec7b6439879,Gasoline,2.4
2g1wb5ek9b1300289,Flexible Fuel Vehicle (FFV),3.5
1g1pf5s98b7156618,Gasoline,1.4
1g1zc5e19bf139064,Gasoline,2.4
1g1za5eu1bf243726,Flexible Fuel Vehicle (FFV),2.4
2cnaldec3b6381810,Gasoline,2.4
1g1za5eu9bf241013,Flexible Fuel Vehicle (FFV),2.4
2cnaldec5b6254704,Gasoline,2.4
2g1wf5ek2b1259945,Flexible Fuel Vehicle (FFV),3.5
3gnbaafw4bs644594,Flexible Fuel Vehicle (FFV),2.2
1g1zb5e10bf207982,Gasoline,2.4
3gnbaafwxbs639285,Flexible Fuel Vehicle (FFV),2.2
2g1wf5ek4b1320115,Flexible Fuel Vehicle (FFV),3.5
2cnalpecxb6380915,Gasoline,2.4
2g1wc5em6b1192700,Flexible Fuel Vehicle (FFV),3.9
1g1za5e14bf344782,Gasoline,2.4
3gnbaafw9bs643943,Flexible Fuel Vehicle (FFV),2.2
1g1ph5s95b7307280,Gasoline,1.4
2gnalbec5b1243621,Gasoline,2.4
2g1wg5ek7b1282909,Flexible Fuel Vehicle (FFV),3.5
1g1ph5s90b7102465,Gasoline,1.4
