vin,fuel_type,engine_volume
1g11a5sa7df276675,Gasoline,2.5
1g11b5sa8df344771,Gasoline,2.5
1gnskce01dr323379,Flexible Fuel Vehicle (FFV),5.3
1g1jc5shxd4145162,Gasoline,1.8
1g11h5sa2du140493,Gasoline,2.5
1g11a5sa1df226516,Gasoline,2.5
kl8cd6s98dc511856,Gasoline,1.2
1g11d5rr0df102899,Gasoline,2.4
1gnkrfed3dj151645,Gasoline,3.6
1gnkrfed8dj150166,Gasoline,3.6
1c3ccbbb1dn714358,Gasoline,2.4
1gnkrfed0dj199166,Gasoline,3.6
1c3ccbbg1dn703324,Gasoline,3.6
1c3ccbbbxdn579610,Gasoline,2.4
1c3ccbbg8dn678020,Gasoline,3.6
1gnkrfed8dj175133,Gasoline,3.6
1c3ccbcg2dn507018,Gasoline,3.6
1gnkrfedxdj143493,Gasoline,3.6
1gnkrfed3dj145912,Gasoline,3.6
1gnkrfed7dj198662,Gasoline,3.6
1c3cdzcb2dn681455,Gasoline,2.4
1c3cdzab7dn517248,Gasoline,2.4
1c3cdfch8dd307585,Gasoline,1.4
1c3cdzcb0dn660846,Gasoline,2.4
1c3cdfba0dd336096,Gasoline,2.0
2c4rc1bgxdr656829,Gasoline,3.6
1c3cdfba1dd233186,Gasoline,2.0
1c3cdzab1dn642648,Gasoline,2.4
1c3cdzcb7dn661881,Gasoline,2.4
1c3cdzab7dn636773,Gasoline,2.4
2c4rdgcg3dr626487,Gasoline,3.6
1c4sdjct8dc696006,Gasoline,5.7
2c4rdgcg2dr616386,Gasoline,3.6
3c4pdcbg3dt636788,Gasoline,3.6
2fmdk3gc2dbb14773,Gasoline,3.5
1fbne3bl4dda94709,Gasoline,5.4
2fmdk4kc5dbc27243,Gasoline,3.5
1fmcu0gx4duc48749,Gasoline,1.6
1fm5k7b97dgb16454,Gasoline,2.0
1fm5k8d82dgc15435,Gasoline,3.5
1fm5k8d83dga04857,Gasoline,3.5
1fm5k8d87dga41829,Gasoline,3.5
3fadp4bj5dm183057,Gasoline,1.6
3fadp4ej6dm117077,Gasoline,1.6
3fadp4ej8dm186739,Gasoline,1.6
3fadp4bj3dm201958,Gasoline,1.6
1fadp3k29dl301941,Gasoline,2.0
1fadp3k29dl247606,Gasoline,2.0
1zvbp8em9d5227370,Gasoline,3.7
3fa6p0h73dr143611,Gasoline,2.5
19xfb2f50de234509,Gasoline,1.802577040
1hgcr2f87da098909,Gasoline,2.4
1fahp2h89dg181459,Gasoline,3.5
1fahp2e84dg209852,Gasoline,3.5
1fahp2h89dg133962,Gasoline,3.5
1fahp2e83dg209972,Gasoline,3.5
1hgcr2f76da047179,Gasoline,2.4
19xfb2f50de283936,Gasoline,1.802577040
1hgcr2f38da082397,Gasoline,2.4
19xfb2f86de227218,Gasoline,1.802577040
1gkkrned5dj254170,Gasoline,3.6
1fahp2h87dg133958,Gasoline,3.5
2hgfb2f59dh547712,Gasoline,1.802577040
1gtr2ve76dz286782,Flexible Fuel Vehicle (FFV),5.3
3gtp2ve75dg324655,Flexible Fuel Vehicle (FFV),5.3
1hgcr2f34da052846,Gasoline,2.4
kmhct4ae4du285964,Gasoline,1.6
5fnrl5h61db020382,Gasoline,3.474057568
5fnrl5h61db029356,Gasoline,3.474057568
jhmze2h71ds005612,Gasoline,1.343739248
5npdh4ae8dh266385,Gasoline,1.8
5fnyf4h9xdb069829,Gasoline,3.474057568
5fnrl5h20db019236,Gasoline,3.474057568
kmhct4ae9du567548,Gasoline,1.6
kmhdh4ae5du773410,Gasoline,1.8
5npdh4ae0dh329883,Gasoline,1.8
kmhdh4ae0du580047,Gasoline,1.8
5npdh4ae7dh227285,Gasoline,1.8
5npeb4ac3dh755460,Gasoline,2.4
5npdh4ae2dh247816,Gasoline,1.8
5npeb4ac7dh758927,Gasoline,2.4
5npdh4ae7dh258049,Gasoline,1.8
kmhdh4ae3du564943,Gasoline,1.8
5npeb4ac9dh664354,Gasoline,2.4
kmhec4a42da070214,Gasoline,2.4
5npeb4ac6dh692046,Gasoline,2.4
5npeb4ac5dh692183,Gasoline,2.4
jn8cs1mwxdm173782,Gasoline,3.7
5npeb4ac8dh680898,Gasoline,2.4
jn8cs1mw1dm172648,Gasoline,3.7
jn1cv6ap1dm300175,Gasoline,3.7
5npeb4ac0dh726983,Gasoline,2.4
5npeb4ac7dh756191,Gasoline,2.4
5npeb4ac2dh735460,Gasoline,2.4
5npec4ac3dh573996,Gasoline,2.4
jn1cv6elxdm950386,Gasoline,3.7
jn8cs1mw6dm172418,Gasoline,3.7
jn1cv6ar3dm351646,Gasoline,3.7
5npeb4ac1dh691399,Gasoline,2.4
jn1cv6ar8dm350296,Gasoline,3.7
jn1cv6el0dm982067,Gasoline,3.7
jn1cv6ar3dm755255,Gasoline,3.7
jn1cv6ar6dm759381,Gasoline,3.7
jn1cv6ar9dm758029,Gasoline,3.7
jn1cv6el2dm950396,Gasoline,3.7
jn1cv6ar2dm750287,Gasoline,3.7
5n1al0mn5dc300084,Gasoline,3.5
jn1cv6ar2dm754954,Gasoline,3.7
jn1cv6ar2dm760110,Gasoline,3.7
jn1cv6ar9dm759794,Gasoline,3.7
jn1cv6ar0dm753849,Gasoline,3.7
jn1cv6el3dm980880,Gasoline,3.7
jn1cv6ar5dm352104,Gasoline,3.7
jn1cv6ar4dm755118,Gasoline,3.7
5xxgr4a65dg110979,Gasoline,2.0
5xxgm4a77dg212162,Gasoline,2.4
5xxgm4a7xdg094446,Gasoline,2.4
5xxgm4a71dg129374,Gasoline,2.4
5xykt4a29dg368426,Gasoline,3.5
knafu4a21d5718703,Gasoline,2.0
5xykwda27dg388598,Gasoline,3.5
3gcukreh5eg475709,Gasoline,4.3
2g1fc3d38e9244945,Gasoline,3.6
3gyfnce3xes625662,Gasoline,3.6
3gcpcreh1eg475037,Gasoline,4.3
2g1fc3d35e9269298,Gasoline,3.6
jthbf5c2xd5187000,Gasoline,2.5
kndpbca25d7427892,Gasoline,2.4
jthbk1gg0d2046318,Gasoline,3.5
jthbe1bl6d5006271,Gasoline,3.5
jthbf5c29d5187506,Gasoline,2.5
jthbf5c20d5185255,Gasoline,2.5
jthbe1bl8d5003128,Gasoline,3.5
jthbe1bl9d5019791,Gasoline,3.5
jthbe1bl6d5003273,Gasoline,3.5
jthbe1bl2d5018577,Gasoline,3.5
jthbf5c20d5189015,Gasoline,2.5
jthbk1gg7d2023893,Gasoline,3.5
jthbf5c24d5189177,Gasoline,2.5
jthbe1bl3d5002596,Gasoline,3.5
jthbf5c20d5192769,Gasoline,2.5
jthbe1bl4d5000274,Gasoline,3.5
jthbk1ggxd2029378,Gasoline,3.5
jthbe1bl7d5017389,Gasoline,3.5
jthbe1bl5d5009727,Gasoline,3.5
jthkd5bh8d2148922,Gasoline,1.8
kndjt2a63d7528719,Gasoline,2.0
jthbf5c25d5190564,Gasoline,2.5
jthce1bl8d5007927,Gasoline,3.5
jthbe1bl5d5018928,Gasoline,3.5
jthbe1bl3d5018197,Gasoline,3.5
jthce1bl0d5005380,Gasoline,3.5
jthbk1gg7d2054268,Gasoline,3.5
jthbe1bl4d5017091,Gasoline,3.5
2t2zk1ba9dc109738,Gasoline,3.5
2lmdj6jk4dbl36417,Gasoline,3.7
2t2zk1ba2dc088568,Gasoline,3.5
2t2zk1ba6dc107266,Gasoline,3.5
2lmdj8jk3dbl33259,Gasoline,3.7
2t2zk1ba9dc102322,Gasoline,3.5
2t2zk1ba8dc127423,Gasoline,3.5
2t2zk1ba1dc091199,Gasoline,3.5
jtjbc1ba6d2438394,Gasoline,3.5
jm1bl1u75d1773303,Gasoline,2.0
jm1bl1u75d1707088,Gasoline,2.0
jm1bl1u74d1774281,Gasoline,2.0
jm3ke4be0d0166266,,2.0
wddgj4hb1df999424,Gasoline,1.8
jm1bl1tfxd1766226,Gasoline,2.0
jm1bl1u72d1765174,Gasoline,2.0
jm1bl1u75d1773186,Gasoline,2.0
jm1bl1u71d1708528,Gasoline,2.0
jm1bl1u74d1765032,Gasoline,2.0
jm1bl1u76d1702966,Gasoline,2.0
wddhf8jb9da701156,Gasoline,3.5
wddhf8jb0da703359,Gasoline,3.5
wddgj8jb5dg050583,Gasoline,3.5
wddhf8jb0da682951,Gasoline,3.5
wddhf8jb1da670680,Gasoline,3.5
wddhf8jbxda732416,Gasoline,3.5
wddhf8jb5da732095,Gasoline,3.5
wddhf8jb0da757440,Gasoline,3.5
wddhf8jb3da737151,Gasoline,3.5
wddhf8jbxda671567,Gasoline,3.5
wddhf8jb2da680781,Gasoline,3.5
wddhf8jb2da726819,Gasoline,3.5
wddhf8jb3da661544,Gasoline,3.5
wddhf8jb1da726391,Gasoline,3.5
wddhf8jb1da742204,Gasoline,3.5
wddhf8jb4da661665,Gasoline,3.5
wddhf8jb5da753450,Gasoline,3.5
wddhf8jb9da723142,Gasoline,3.5
wddhf8jb6da726662,Gasoline,3.5
1n4al3ap7dn532207,Gasoline,2.5
1n4al3ap1dc908380,Gasoline,2.5
1n4al3ap5dc105068,Gasoline,2.5
1n4al3ap6dc219855,Gasoline,2.5
ja32u2fu2du016491,Gasoline,2.0
1n4al3ap8dc219419,Gasoline,2.5
1n4al3ap6dn448315,Gasoline,2.5
1n4al3ap3dn537145,Gasoline,2.5
1n4al3ap9dc158002,Gasoline,2.5
1n4al3ap6dn459637,Gasoline,2.5
1n4al3ap8dn564485,Gasoline,2.5
1n4al3ap9dc215900,Gasoline,2.5
1n4al3ap6dc298783,Gasoline,2.5
1n4al3ap3dn454735,Gasoline,2.5
1n4al3ap6dc180510,Gasoline,2.5
1n4al3ap9dc195289,Gasoline,2.5
1n4al3ap2dc172131,Gasoline,2.5
1n4al3ap5dn511310,Gasoline,2.5
1n4al3ap0dn476529,Gasoline,2.5
1n4al3ap8dc258012,Gasoline,2.5
1n4al3ap2dc174574,Gasoline,2.5
1n4al3apxdn416032,Gasoline,2.5
5n1aa0nc7dn608137,Gasoline,5.6
1n4al3ap6dn585383,Gasoline,2.5
1n6ad0ev0dn720692,Gasoline,4
1n4al3ap6dn573136,Gasoline,2.5
1n4al3apxdc119791,Gasoline,2.5
1n4al3apxdn440136,Gasoline,2.5
1n4al3ap6dn537222,Gasoline,2.5
1n4al3ap1dn440560,Gasoline,2.5
1n4al3ap9dc138607,Gasoline,2.5
1n4al3ap8dc130840,Gasoline,2.5
1n4al3ap5dn504051,Gasoline,2.5
1n4al3ap5dc918880,Gasoline,2.5
1n4al3ap8dc238519,Gasoline,2.5
1n4al3ap4dc171921,Gasoline,2.5
1n4al3ap2dc191259,Gasoline,2.5
1n4al3ap4dn561793,Gasoline,2.5
1n4bl3ap8dn515811,Gasoline,3.5
1n4bl3ap7dc192170,Gasoline,3.5
1n4al3ap8dc154930,Gasoline,2.5
1n4aa5ap0dc830160,Gasoline,3.5
1n4aa5ap4dc830419,Gasoline,3.5
1n4aa5ap7dc843245,Gasoline,3.5
1n4aa5ap7dc829992,Gasoline,3.5
jn8az1mw5dw302552,Gasoline,3.5
jn8az1mw5dw301434,Gasoline,3.5
1n4aa5ap1dc833312,Gasoline,3.5
1n4aa5ap0dc824133,Gasoline,3.5
1n4aa5ap2dc830306,Gasoline,3.5
jn8as5mv9dw605885,Gasoline,2.5
1n4aa5ap2dc801291,Gasoline,3.5
jn8az1mw0dw300885,Gasoline,3.5
1n4aa5ap9dc833185,Gasoline,3.5
jn8as5mv4dw635098,Gasoline,2.5
jn8as5mv9dw601819,Gasoline,2.5
3n1ab7apxdl657693,Gasoline,1.8
3n1ab7ap8dl621033,Gasoline,1.8
3n1ab7ap8dl677330,Gasoline,1.8
3n1cn7ap4dl845481,Gasoline,1.6
3n1ab7ap7dl687668,Gasoline,1.8
3n1ab7apxdl678141,Gasoline,1.8
3n1ab7ap0dl661221,Gasoline,1.8
3n1cn7apxdl867792,Gasoline,1.6
3n1cn7ap9dl875642,Gasoline,1.6
1c6rr7gt3ds599449,Gasoline,5.7
3n1ab7ap3dl705972,Gasoline,1.8
3n1ab7ap3dl681656,Gasoline,1.8
3n1cn7ap3dl886653,Gasoline,1.6
3n1ab7ap9dl639184,Gasoline,1.8
3n1cn7ap0dl843579,Gasoline,1.6
3n1ab7apxdl684988,Gasoline,1.8
4t1bf1fkxdu214106,Gasoline,2.5
4s3bmcb61d3024828,,2.5
jtkkupb48d1034492,Gasoline,1.8
4s3bmcb60d3037232,,2.5
4t1bf1fk8du706164,Gasoline,2.5
4t1bf1fk8du698082,Gasoline,2.5
4t1bf1fk9du662630,Gasoline,2.5
4t1bf1fk8du241966,Gasoline,2.5
4t1bf1fk8du646807,Gasoline,2.5
4t1bf1fk2du663991,Gasoline,2.5
jtlze4fexdj038813,Gasoline,2.4
4t1bf1fk2du211152,Gasoline,2.5
4s3bmcb65d3038134,,2.5
4t1bf1fk6du702047,Gasoline,2.5
4t1bf1fk8du227839,Gasoline,2.5
4t1bf1fk2du662131,Gasoline,2.5
4t1bf1fk2du227710,Gasoline,2.5
jf1gr7e60dg884826,,2.500000
jtkjf5c74d3051863,Gasoline,2.5
4s4brcbc4d3256987,,2.5
wbavl1c52fvy32300,Gasoline,2.00
wba5b1c59fd919412,Gasoline,3.0
wba5b1c5xfd918558,Gasoline,3.0
wba3r1c56fk193099,Gasoline,3.0
wbavl1c5xfvy29449,Gasoline,2.00
